drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source
DB00490,Buspirone,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB00490,Gene::3350,1321,2164,0.9528541360026304,drkg_only
DB14766,Etrasimod,CHEMBL2014,Nociceptin receptor,Compound::DB14766,Gene::4987,5514,1866,0.9469207919714084,drkg_only
DB01264,Darunavir,CHEMBL2014,Nociceptin receptor,Compound::DB01264,Gene::4987,382,1866,0.941472804248531,drkg_only
DB12523,Mizolastine,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB12523,Gene::5152,10021,1843,0.9387649800284448,drkg_only
DB15011,Avacopan,CHEMBL2063,Ceramide glucosyltransferase,Compound::DB15011,Gene::7357,9159,1065,0.9348032583385468,drkg_only
DB00246,Ziprasidone,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB00246,Gene::3350,1514,2164,0.9333990438240156,drkg_only
DB12070,Letermovir,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB12070,Gene::7786,119,3956,0.9333430103274454,drkg_only
DB05039,Indacaterol,CHEMBL210,Beta-2 adrenergic receptor,Compound::DB05039,Gene::154,8481,518,0.9329842229027504,drkg_only
DB11581,Venetoclax,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB11581,Gene::7786,4942,3956,0.9327731846335202,drkg_only
DB12457,Rimegepant,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB12457,Gene::3350,5350,2164,0.9321305090535512,drkg_only
DB08801,Dimetindene,CHEMBL211,Muscarinic acetylcholine receptor M2,Compound::DB08801,Gene::1129,5308,1687,0.9306554346921868,drkg_only
DB01591,Solifenacin,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB01591,Gene::3350,1037,2164,0.930212271786178,drkg_only
DB04868,Nilotinib,CHEMBL205,Carbonic anhydrase 2,Compound::DB04868,Gene::760,6766,1989,0.9296913403552024,drkg_only
DB12874,Quizartinib,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB12874,Gene::5152,6252,1843,0.9296786399395336,drkg_only
DB14766,Etrasimod,CHEMBL264,Histamine H3 receptor,Compound::DB14766,Gene::57538,5514,24087,0.9283258797083472,drkg_only
DB14512,Mometasone furoate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14512,Gene::2908,5571,293,0.9281406831813044,drkg_only
DB09195,Lorpiprazole,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB09195,Gene::3350,5125,2164,0.9279775450232476,drkg_only
DB09143,Sonidegib,CHEMBL205,Carbonic anhydrase 2,Compound::DB09143,Gene::760,2176,1989,0.9267919872835136,drkg_only
DB09038,Empagliflozin,CHEMBL264,Histamine H3 receptor,Compound::DB09038,Gene::57538,1797,24087,0.9266734225992824,drkg_only
DB15569,Sotorasib,CHEMBL2014,Nociceptin receptor,Compound::DB15569,Gene::4987,14956,1866,0.92637728822061,drkg_only
DB01591,Solifenacin,CHEMBL2014,Nociceptin receptor,Compound::DB01591,Gene::4987,1037,1866,0.9262970622498008,drkg_only
DB00315,Zolmitriptan,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB00315,Gene::5152,6638,1843,0.9262169711710624,drkg_only
DB00436,Bendroflumethiazide,CHEMBL205,Carbonic anhydrase 2,Compound::DB00436,Gene::760,2294,1989,0.9257991320217264,drkg_only
DB09378,Fluprednisolone,CHEMBL2034,Glucocorticoid receptor,Compound::DB09378,Gene::2908,10578,293,0.925454150610754,drkg_only
DB11641,Vinflunine,CHEMBL2034,Glucocorticoid receptor,Compound::DB11641,Gene::2908,4583,293,0.9253299060287616,drkg_only
DB15035,Zanubrutinib,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB15035,Gene::7786,3668,3956,0.9248822961332412,drkg_only
DB14723,Larotrectinib,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB14723,Gene::3350,937,2164,0.924583616054465,drkg_only
DB12267,Brigatinib,CHEMBL2014,Nociceptin receptor,Compound::DB12267,Gene::4987,4326,1866,0.92449933733015,drkg_only
DB09297,Paritaprevir,CHEMBL205,Carbonic anhydrase 2,Compound::DB09297,Gene::760,2988,1989,0.9237300665650796,drkg_only
DB11712,Tezacaftor,CHEMBL205,Carbonic anhydrase 2,Compound::DB11712,Gene::760,10091,1989,0.922116082283426,drkg_only
DB06636,Isavuconazonium,CHEMBL2014,Nociceptin receptor,Compound::DB06636,Gene::4987,11821,1866,0.9218287764101656,drkg_only
DB11574,Elbasvir,CHEMBL2014,Nociceptin receptor,Compound::DB11574,Gene::4987,3862,1866,0.9216509246549186,drkg_only
DB06781,Difluprednate,CHEMBL2034,Glucocorticoid receptor,Compound::DB06781,Gene::2908,3901,293,0.9215408602501566,drkg_only
DB01076,Atorvastatin,CHEMBL205,Carbonic anhydrase 2,Compound::DB01076,Gene::760,3250,1989,0.9212921048702222,drkg_only
DB09027,Ledipasvir,CHEMBL2014,Nociceptin receptor,Compound::DB09027,Gene::4987,9141,1866,0.9203184035876116,drkg_only
DB13941,Piperaquine,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB13941,Gene::3350,11345,2164,0.9198108925502664,drkg_only
DB04842,Fluspirilene,CHEMBL264,Histamine H3 receptor,Compound::DB04842,Gene::57538,3758,24087,0.9196060941070904,drkg_only
DB14860,Ensartinib,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB14860,Gene::7786,4843,3956,0.9195716659501572,drkg_only
DB00695,Furosemide,CHEMBL205,Carbonic anhydrase 2,Compound::DB00695,Gene::760,7032,1989,0.9191063216811656,drkg_only
DB09383,Meprednisone,CHEMBL2034,Glucocorticoid receptor,Compound::DB09383,Gene::2908,4337,293,0.9175475819772344,drkg_only
DB12612,Ozanimod,CHEMBL2014,Nociceptin receptor,Compound::DB12612,Gene::4987,4216,1866,0.9172479438116332,drkg_only
DB08816,Ticagrelor,CHEMBL205,Carbonic anhydrase 2,Compound::DB08816,Gene::760,5640,1989,0.9168254407676342,drkg_only
DB06077,Lumateperone,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB06077,Gene::3350,1119,2164,0.9168244513068105,drkg_only
DB14542,Hydrocortisone phosphate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14542,Gene::2908,11415,293,0.9162026670755186,drkg_only
DB11274,Dihydro-alpha-ergocryptine,CHEMBL2034,Glucocorticoid receptor,Compound::DB11274,Gene::2908,10716,293,0.9158263104381784,drkg_only
DB14543,Hydrocortisone probutate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14543,Gene::2908,9927,293,0.9156967157718602,drkg_only
DB11712,Tezacaftor,CHEMBL2009,Glutamate receptor 1,Compound::DB11712,Gene::2890,10091,294,0.9155685670874394,drkg_only
DB09319,Carindacillin,CHEMBL205,Carbonic anhydrase 2,Compound::DB09319,Gene::760,12396,1989,0.9150181220329656,drkg_only
DB09065,Cobicistat,CHEMBL2014,Nociceptin receptor,Compound::DB09065,Gene::4987,434,1866,0.9148646574994148,drkg_only
DB15011,Avacopan,CHEMBL205,Carbonic anhydrase 2,Compound::DB15011,Gene::760,9159,1989,0.9145690823927172,drkg_only
DB15568,Adagrasib,CHEMBL264,Histamine H3 receptor,Compound::DB15568,Gene::57538,14955,24087,0.9144260714742986,drkg_only
DB11273,Dihydroergocornine,CHEMBL2034,Glucocorticoid receptor,Compound::DB11273,Gene::2908,11351,293,0.914187178765754,drkg_only
DB11581,Venetoclax,CHEMBL2014,Nociceptin receptor,Compound::DB11581,Gene::4987,4942,1866,0.9141196124765394,drkg_only
DB08897,Aclidinium,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB08897,Gene::3350,4174,2164,0.9141192495890312,drkg_only
DB08897,Aclidinium,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB08897,Gene::3350,4174,2164,0.9141192495890312,drkg_only
DB06202,Lasofoxifene,CHEMBL264,Histamine H3 receptor,Compound::DB06202,Gene::57538,110,24087,0.9141116740583995,drkg_only
DB14669,Betamethasone phosphate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14669,Gene::2908,2569,293,0.9141039496722496,drkg_only
DB11691,Naldemedine,CHEMBL2034,Glucocorticoid receptor,Compound::DB11691,Gene::2908,9248,293,0.9140149286568144,drkg_only
