drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source
DB06016,Cariprazine,CHEMBL234,D(3) dopamine receptor,Compound::DB06016,Gene::1816,4166,2075,0.9716673725777684,esm2_only
DB04835,Maraviroc,CHEMBL2034,Glucocorticoid receptor,Compound::DB04835,Gene::2908,4760,293,0.950254774119354,esm2_only
DB00796,Candesartan cilexetil,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB00796,Gene::5152,3885,1843,0.9495668379970372,esm2_only
DB00311,Ethoxzolamide,CHEMBL205,Carbonic anhydrase 2,Compound::DB00311,Gene::760,2964,1989,0.9437252365443008,esm2_only
DB06016,Cariprazine,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB06016,Gene::3350,4166,2164,0.935512624339661,esm2_only
DB00391,Sulpiride,CHEMBL205,Carbonic anhydrase 2,Compound::DB00391,Gene::760,29,1989,0.9345051713542826,esm2_only
DB09143,Sonidegib,CHEMBL245,Muscarinic acetylcholine receptor M3,Compound::DB09143,Gene::1131,2176,1949,0.9335814962157531,esm2_only
DB06448,Lonafarnib,CHEMBL2014,Nociceptin receptor,Compound::DB06448,Gene::4987,2012,1866,0.9335439739605788,esm2_only
DB09195,Lorpiprazole,CHEMBL234,D(3) dopamine receptor,Compound::DB09195,Gene::1816,5125,2075,0.9320727543478384,esm2_only
DB11574,Elbasvir,CHEMBL205,Carbonic anhydrase 2,Compound::DB11574,Gene::760,3862,1989,0.9303811426775794,esm2_only
DB15328,Ubrogepant,CHEMBL234,D(3) dopamine receptor,Compound::DB15328,Gene::1816,10560,2075,0.9296578458078402,esm2_only
DB11611,Lifitegrast,CHEMBL205,Carbonic anhydrase 2,Compound::DB11611,Gene::760,5053,1989,0.9283588220399458,esm2_only
DB09195,Lorpiprazole,CHEMBL2014,Nociceptin receptor,Compound::DB09195,Gene::4987,5125,1866,0.9282869850919812,esm2_only
DB01200,Bromocriptine,CHEMBL2034,Glucocorticoid receptor,Compound::DB01200,Gene::2908,5229,293,0.928167843543853,esm2_only
DB06448,Lonafarnib,CHEMBL234,D(3) dopamine receptor,Compound::DB06448,Gene::1816,2012,2075,0.9254080584617516,esm2_only
DB15035,Zanubrutinib,CHEMBL2014,Nociceptin receptor,Compound::DB15035,Gene::4987,3668,1866,0.9248092127308573,esm2_only
DB15444,Elexacaftor,CHEMBL2034,Glucocorticoid receptor,Compound::DB15444,Gene::2908,11355,293,0.9246091139257568,esm2_only
DB04835,Maraviroc,CHEMBL234,D(3) dopamine receptor,Compound::DB04835,Gene::1816,4760,2075,0.9242507683557162,esm2_only
DB00433,Prochlorperazine,CHEMBL2014,Nociceptin receptor,Compound::DB00433,Gene::4987,4928,1866,0.923927639432712,esm2_only
DB00251,Terconazole,CHEMBL2034,Glucocorticoid receptor,Compound::DB00251,Gene::2908,1862,293,0.9233786654266172,esm2_only
DB05381,Histamine,CHEMBL264,Histamine H3 receptor,Compound::DB05381,Gene::57538,1593,24087,0.922021940400974,esm2_only
DB05294,Vandetanib,CHEMBL264,Histamine H3 receptor,Compound::DB05294,Gene::57538,236,24087,0.9208330508976902,esm2_only
DB08897,Aclidinium,CHEMBL2014,Nociceptin receptor,Compound::DB08897,Gene::4987,4174,1866,0.9203572234493748,esm2_only
DB05667,Levoketoconazole,CHEMBL2034,Glucocorticoid receptor,Compound::DB05667,Gene::2908,986,293,0.9192232552779904,esm2_only
DB08897,Aclidinium,CHEMBL264,Histamine H3 receptor,Compound::DB08897,Gene::57538,4174,24087,0.9178346698794694,esm2_only
DB01232,Saquinavir,CHEMBL2014,Nociceptin receptor,Compound::DB01232,Gene::4987,373,1866,0.91725303020756,esm2_only
DB12015,Alpelisib,CHEMBL2034,Glucocorticoid receptor,Compound::DB12015,Gene::2908,5202,293,0.9164512656035028,esm2_only
DB00183,Pentagastrin,CHEMBL205,Carbonic anhydrase 2,Compound::DB00183,Gene::760,4309,1989,0.916409728232964,esm2_only
DB11363,Alectinib,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB11363,Gene::5152,3681,1843,0.916162774883037,esm2_only
DB00796,Candesartan cilexetil,CHEMBL205,Carbonic anhydrase 2,Compound::DB00796,Gene::760,3885,1989,0.9155541676511284,esm2_only
