molecule_chembl_id,target_chembl_id,standard_value,standard_units,standard_type
CHEMBL181385,CHEMBL5141,34.0,nM,IC50
CHEMBL181385,CHEMBL5141,86.0,nM,IC50
CHEMBL180856,CHEMBL5141,50.0,nM,IC50
CHEMBL179825,CHEMBL5141,100.0,nM,IC50
CHEMBL362412,CHEMBL5141,19.0,nM,IC50
CHEMBL362412,CHEMBL5141,153.0,nM,IC50
CHEMBL181309,CHEMBL5141,7.0,nM,IC50
CHEMBL181309,CHEMBL5141,18.0,nM,IC50
CHEMBL180805,CHEMBL5141,21.4,nM,IC50
CHEMBL180805,CHEMBL5141,73.0,nM,IC50
CHEMBL178474,CHEMBL5141,16.0,nM,IC50
CHEMBL178474,CHEMBL5141,85.0,nM,IC50
CHEMBL359627,CHEMBL5141,6.0,nM,IC50
CHEMBL359627,CHEMBL5141,71.0,nM,IC50
CHEMBL180592,CHEMBL5141,77.0,nM,IC50
CHEMBL178873,CHEMBL5141,335.0,nM,IC50
CHEMBL180348,CHEMBL5141,25.0,nM,IC50
CHEMBL179550,CHEMBL5141,8.0,nM,IC50
CHEMBL426789,CHEMBL5141,3.5,nM,IC50
CHEMBL426789,CHEMBL5141,6.3,nM,IC50
CHEMBL368448,CHEMBL5141,3.3,nM,IC50
CHEMBL368448,CHEMBL5141,12.0,nM,IC50
CHEMBL360771,CHEMBL5141,20.0,nM,IC50
CHEMBL360771,CHEMBL5141,46.0,nM,IC50
CHEMBL360148,CHEMBL5141,48.0,nM,IC50
CHEMBL182438,CHEMBL5141,37.0,nM,IC50
CHEMBL360072,CHEMBL5141,14.4,nM,IC50
CHEMBL362489,CHEMBL5141,47.0,nM,IC50
CHEMBL180829,CHEMBL5141,54.0,nM,IC50
CHEMBL367357,CHEMBL5141,35.0,nM,IC50
CHEMBL389433,CHEMBL5141,6000.0,nM,IC50
CHEMBL208154,CHEMBL5141,20.0,nM,IC50
CHEMBL208443,CHEMBL5141,1.3,nM,IC50
CHEMBL382574,CHEMBL5141,26.0,nM,IC50
CHEMBL204684,CHEMBL5141,403.0,nM,IC50
CHEMBL205862,CHEMBL5141,1.4,nM,IC50
CHEMBL207304,CHEMBL5141,1.6,nM,IC50
CHEMBL207942,CHEMBL5141,4.2,nM,IC50
CHEMBL210569,CHEMBL5141,583.0,nM,IC50
CHEMBL208158,CHEMBL5141,34.0,nM,IC50
CHEMBL205280,CHEMBL5141,60.0,nM,IC50
CHEMBL207411,CHEMBL5141,125.0,nM,IC50
CHEMBL207486,CHEMBL5141,3.0,nM,IC50
CHEMBL208155,CHEMBL5141,5.0,nM,IC50
CHEMBL210780,CHEMBL5141,9.0,nM,IC50
CHEMBL378132,CHEMBL5141,46.7,nM,IC50
CHEMBL207638,CHEMBL5141,11.2,nM,IC50
CHEMBL377177,CHEMBL5141,7.3,nM,IC50
CHEMBL207345,CHEMBL5141,40.0,nM,IC50
CHEMBL206884,CHEMBL5141,34.7,nM,IC50
CHEMBL377286,CHEMBL5141,37.0,nM,IC50
CHEMBL224828,CHEMBL5141,200.0,nM,IC50
CHEMBL190837,CHEMBL5141,56.0,nM,IC50
CHEMBL223072,CHEMBL5141,24.7,nM,IC50
CHEMBL57765,CHEMBL5141,10.9,nM,IC50
CHEMBL224828,CHEMBL5141,215.0,nM,IC50
CHEMBL57765,CHEMBL5141,6.3,nM,IC50
CHEMBL225621,CHEMBL5141,6000.0,nM,IC50
CHEMBL225621,CHEMBL5141,6000.0,nM,IC50
CHEMBL190837,CHEMBL5141,24.0,nM,IC50
CHEMBL223072,CHEMBL5141,10.0,nM,IC50
CHEMBL224828,CHEMBL5141,40.0,nM,IC50
CHEMBL223072,CHEMBL5141,5.2,nM,IC50
CHEMBL57765,CHEMBL5141,2.4,nM,IC50
CHEMBL225621,CHEMBL5141,800.0,nM,IC50
CHEMBL225621,CHEMBL5141,680.0,nM,IC50
CHEMBL431135,CHEMBL5141,,,IC50
CHEMBL431135,CHEMBL5141,,,IC50
CHEMBL431135,CHEMBL5141,,,IC50
CHEMBL225621,CHEMBL5141,,,IC50
CHEMBL225621,CHEMBL5141,,,IC50
CHEMBL224080,CHEMBL5141,,,IC50
CHEMBL224080,CHEMBL5141,,,IC50
CHEMBL224080,CHEMBL5141,,,IC50
CHEMBL7301,CHEMBL5141,,,IC50
CHEMBL157101,CHEMBL5141,,,IC50
CHEMBL225121,CHEMBL5141,,,IC50
CHEMBL225429,CHEMBL5141,,,IC50
CHEMBL387639,CHEMBL5141,,,IC50
CHEMBL224995,CHEMBL5141,,,IC50
CHEMBL388283,CHEMBL5141,,,IC50
CHEMBL388064,CHEMBL5141,,,IC50
CHEMBL53449,CHEMBL5141,,,IC50
CHEMBL417769,CHEMBL5141,,,IC50
CHEMBL7301,CHEMBL5141,,,IC50
CHEMBL157101,CHEMBL5141,,,IC50
CHEMBL225121,CHEMBL5141,,,IC50
CHEMBL225429,CHEMBL5141,,,IC50
CHEMBL387639,CHEMBL5141,,,IC50
CHEMBL224995,CHEMBL5141,,,IC50
CHEMBL388283,CHEMBL5141,,,IC50
CHEMBL388064,CHEMBL5141,,,IC50
CHEMBL53449,CHEMBL5141,,,IC50
CHEMBL417769,CHEMBL5141,,,IC50
CHEMBL7301,CHEMBL5141,,,IC50
CHEMBL157101,CHEMBL5141,,,IC50
CHEMBL389433,CHEMBL5141,,,IC50
CHEMBL225121,CHEMBL5141,,,IC50
CHEMBL225429,CHEMBL5141,,,IC50
CHEMBL387639,CHEMBL5141,,,IC50
CHEMBL224995,CHEMBL5141,,,IC50
CHEMBL388283,CHEMBL5141,,,IC50
CHEMBL388064,CHEMBL5141,,,IC50
CHEMBL190837,CHEMBL5141,,,IC50
CHEMBL53449,CHEMBL5141,,,IC50
CHEMBL417769,CHEMBL5141,,,IC50
CHEMBL365510,CHEMBL5141,50000.0,nM,IC50
CHEMBL375044,CHEMBL5141,43000.0,nM,IC50
CHEMBL224728,CHEMBL5141,39000.0,nM,IC50
CHEMBL183636,CHEMBL5141,25000.0,nM,IC50
CHEMBL185724,CHEMBL5141,10000.0,nM,IC50
CHEMBL361073,CHEMBL5141,10000.0,nM,IC50
CHEMBL361511,CHEMBL5141,25000.0,nM,IC50
CHEMBL186016,CHEMBL5141,20000.0,nM,IC50
CHEMBL185684,CHEMBL5141,5000.0,nM,IC50
CHEMBL363039,CHEMBL5141,20000.0,nM,IC50
CHEMBL185720,CHEMBL5141,50000.0,nM,IC50
CHEMBL224305,CHEMBL5141,5.0,nM,IC50
CHEMBL389433,CHEMBL5141,7000.0,nM,IC50
CHEMBL157101,CHEMBL5141,12000.0,nM,IC50
CHEMBL186798,CHEMBL5141,50000.0,nM,IC50
CHEMBL360640,CHEMBL5141,20000.0,nM,IC50
CHEMBL426188,CHEMBL5141,20000.0,nM,IC50
CHEMBL365686,CHEMBL5141,50000.0,nM,IC50
CHEMBL187150,CHEMBL5141,9000.0,nM,IC50
CHEMBL426432,CHEMBL5141,7000.0,nM,IC50
CHEMBL363682,CHEMBL5141,9000.0,nM,IC50
CHEMBL188017,CHEMBL5141,20000.0,nM,IC50
CHEMBL255090,CHEMBL5141,2200.0,nM,IC50
CHEMBL461860,CHEMBL5141,50000.0,nM,IC50
CHEMBL450523,CHEMBL5141,5000.0,nM,IC50
CHEMBL360771,CHEMBL5141,3300.0,nM,IC50
CHEMBL460780,CHEMBL5141,1500.0,nM,IC50
CHEMBL518642,CHEMBL5141,900.0,nM,IC50
CHEMBL462468,CHEMBL5141,2500.0,nM,IC50
CHEMBL517904,CHEMBL5141,1000.0,nM,IC50
