target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,document_chembl_id,pref_name,target_type,organism
CHEMBL1784,CHEMBL414357,IC50,0.66,nM,9.18,CHEMBL972348,CHEMBL1150266,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL4084119,IC50,0.11,nM,9.96,CHEMBL3620279,CHEMBL3616405,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL2108724,IC50,0.38,nM,9.42,CHEMBL3620279,CHEMBL3616405,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL2108724,IC50,0.13,nM,9.89,CHEMBL3620279,CHEMBL3616405,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL4084119,IC50,4.78,nM,8.32,CHEMBL3620280,CHEMBL3616405,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL2108724,IC50,357.0,nM,6.45,CHEMBL3620280,CHEMBL3616405,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL2108724,IC50,30.0,nM,7.52,CHEMBL3620280,CHEMBL3616405,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL414357,IC50,5.98,nM,8.22,CHEMBL4713471,CHEMBL4706662,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL2108724,Kd,441.0,nM,6.36,CHEMBL5122358,CHEMBL5120806,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL4084119,Kd,6270.0,nM,5.2,CHEMBL5122358,CHEMBL5120806,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL414357,IC50,0.3981,nM,9.4,CHEMBL5130382,CHEMBL5126621,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL414357,Ki,0.092,nM,10.04,CHEMBL5168515,CHEMBL5154938,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL4084119,Ki,4.4,nM,8.36,CHEMBL5168515,CHEMBL5154938,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL414357,Ki,0.053,nM,10.28,CHEMBL5168516,CHEMBL5154938,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1784,CHEMBL4084119,Ki,6.3,nM,8.2,CHEMBL5168516,CHEMBL5154938,Glucagon-like peptide 1 receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1850,CHEMBL59,Ki,2440.0,nM,5.61,CHEMBL839015,CHEMBL1143580,D(1B) dopamine receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1850,CHEMBL1557,Ki,1160.0,nM,5.94,CHEMBL3117734,CHEMBL3112461,D(1B) dopamine receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1850,CHEMBL1557,Ki,1023.29,nM,5.99,CHEMBL3117734,CHEMBL3112461,D(1B) dopamine receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1850,CHEMBL589,Ki,41211.0,nM,4.38,CHEMBL3587608,CHEMBL3585327,D(1B) dopamine receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1850,CHEMBL53,Ki,15.0,nM,7.82,CHEMBL4628392,CHEMBL4627308,D(1B) dopamine receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1850,CHEMBL59,Ki,228.0,nM,6.64,CHEMBL5527103,CHEMBL5523761,D(1B) dopamine receptor,SINGLE PROTEIN,Homo sapiens
CHEMBL1850,CHEMBL53,Ki,188.9,nM,6.72,CHEMBL5527127,CHEMBL5523761,D(1B) dopamine receptor,SINGLE PROTEIN,Homo sapiens
